1,-0.85449,1.95312,3.54004,0.73315,-0.04517,-0.65405,0.22913,0.04602,-0.04993
2,0.06104,1.83105,4.76074,0.73083,-0.04297,-0.66028,0.22913,0.04602,-0.04993
3,0.06104,1.83105,4.76074,0.73083,-0.04297,-0.66028,0.22913,0.04602,-0.04993
4,0.54932,1.58691,5.67627,0.73132,-0.03735,-0.65979,0.22913,0.04602,-0.04993
5,0.54932,1.58691,5.67627,0.73132,-0.03735,-0.65979,0.22913,0.04602,-0.04993
6,0.06104,1.64795,6.53076,0.72937,-0.03320,-0.65820,0.22913,0.04602,-0.04993
7,0.06104,1.64795,6.53076,0.72937,-0.03320,-0.65820,0.22925,0.04871,-0.03760
8,0.85449,1.34277,6.95801,0.72839,-0.02771,-0.65222,0.22925,0.04871,-0.03760
9,0.85449,1.34277,6.95801,0.72839,-0.02771,-0.65222,0.22925,0.04871,-0.03760
10,2.44141,1.28174,7.32422,0.73145,-0.01660,-0.65454,0.22925,0.04871,-0.03760
11,2.44141,1.28174,7.32422,0.73145,-0.01660,-0.65454,0.22925,0.04871,-0.03760
12,3.29590,1.40381,7.50732,0.73645,-0.00574,-0.66223,0.22925,0.04871,-0.03760
13,3.29590,1.40381,7.50732,0.73645,-0.00574,-0.66223,0.22925,0.04871,-0.03760
14,3.05176,1.46484,6.95801,0.73950,0.00293,-0.66418,0.22925,0.04871,-0.03760
15,3.05176,1.46484,6.95801,0.73950,0.00293,-0.66418,0.22925,0.04871,-0.03760
16,1.95312,1.70898,5.92041,0.73950,0.01001,-0.67078,0.22925,0.04871,-0.03760
17,1.95312,1.70898,5.92041,0.73950,0.01001,-0.67078,0.22925,0.04871,-0.03760
18,1.28174,1.64795,4.51660,0.74219,0.01074,-0.67712,0.22925,0.04871,-0.03760
19,1.28174,1.64795,4.51660,0.74219,0.01074,-0.67712,0.23364,0.04333,-0.04333
20,1.22070,1.09863,3.11279,0.74146,0.00037,-0.67371,0.23364,0.04333,-0.04333
21,1.22070,1.09863,3.11279,0.74146,0.00037,-0.67371,0.23364,0.04333,-0.04333
